importance,feature
0.01607,mean:acc_mag__mad
0.01517,mean:acc_mag__std
0.01328,mean:acc_mag__iqr
0.01274,mean:acc_y__std
0.01261,mean:acc_y__mad
0.01109,mean:acc_y__range
0.01054,mean:acc_mag__max
0.01043,mean:acc_y__iqr
0.01040,mean:acc_z__mad
0.01023,mean:acc_y__rms
0.00992,mean:acc_x__std
0.00949,mean:acc_x__mad
0.00931,mean:acc_z__iqr
0.00908,mean:acc_mag__min
0.00897,mean:acc_z__std
0.00896,mean:acc_x__rms
0.00882,mean:acc_mag__range
0.00854,mean:acc_z__rms
0.00790,mean:acc_mag__band_1.5_3.0
0.00790,mean:acc_x__iqr
0.00786,mean:gyro_mag__median
0.00785,mean:gyro_mag__rms
0.00755,mean:gyro_z__iqr
0.00712,mean:gyro_y__mad
0.00709,mean:gyro_mag__mean
0.00708,mean:acc_mag__zcr
0.00689,mean:acc_z__range
0.00682,mean:acc_mag__mean
0.00678,mean:acc_mag__rms
0.00674,mean:gyro_z__rms
0.00666,mean:acc_x__range
0.00642,mean:gyro_z__std
0.00635,mean:acc_x__zcr
0.00632,mean:gyro_z__mad
0.00631,mean:gyro_x__rms
0.00601,mean:gyro_x__mad
0.00594,mean:gyro_y__std
0.00593,mean:acc_mag__median
0.00589,mean:gyro_mag__mad
0.00589,mean:gyro_mag__std
0.00584,mean:acc_z__zcr
0.00582,mean:gyro_mag__min
0.00577,mean:acc_x__band_6.0_12.5
0.00565,mean:gyro_x__std
0.00553,mean:gyro_y__iqr
0.00553,mean:acc_z__spec_centroid
0.00545,mean:gyro_x__range
0.00544,mean:acc_x__spec_centroid
0.00544,mean:gyro_x__iqr
0.00530,mean:gyro_y__range
0.00526,mean:gyro_y__rms
0.00505,mean:acc_z__skew
0.00501,mean:acc_y__zcr
0.00480,mean:acc_mag__dom_freq
0.00478,mean:gyro_mag__iqr
0.00472,mean:gyro_z__range
0.00452,mean:gyro_mag__range
0.00427,mean:acc_z__dom_freq
0.00422,mean:gyro_mag__max
0.00421,mean:gyro_y__band_3.0_6.0
0.00416,mean:acc_mag__spec_centroid
0.00402,std:acc_mag__range
0.00401,mean:acc_mag__kurt
0.00394,mean:acc_y__spec_centroid
0.00394,std:acc_mag__mad
0.00387,std:acc_mag__iqr
0.00383,mean:acc_z__band_6.0_12.5
0.00363,std:acc_y__std
0.00360,mean:acc_x__band_0.0_0.5
0.00359,std:acc_z__range
0.00352,std:acc_x__std
0.00351,mean:acc_mag__band_0.5_1.5
0.00347,mean:acc_y__band_6.0_12.5
0.00335,mean:acc_x__dom_freq
0.00331,mean:acc_x__band_0.5_1.5
0.00330,mean:acc_mag__band_6.0_12.5
0.00327,mean:acc_y__dom_freq
0.00324,std:acc_mag__std
0.00323,mean:acc_z__kurt
0.00322,mean:acc_y__band_0.5_1.5
0.00322,mean:acc_mag__band_3.0_6.0
0.00318,std:acc_y__range
0.00315,mean:gyro_y__dom_power
0.00315,std:acc_mag__max
0.00313,mean:gyro_y__spec_centroid
0.00309,mean:acc_y__band_3.0_6.0
0.00307,mean:gyro_z__band_3.0_6.0
0.00307,mean:acc_mag__dom_power
0.00306,mean:acc_y__band_0.0_0.5
0.00305,mean:gyro_z__band_0.5_1.5
0.00304,std:acc_mag__dom_freq
0.00301,mean:acc_y__band_1.5_3.0
0.00301,std:acc_x__band_0.0_0.5
0.00298,std:acc_z__std
0.00298,std:acc_x__range
0.00298,mean:gyro_y__zcr
0.00297,mean:acc_y__kurt
0.00297,mean:gyro_corr_xy
0.00295,mean:acc_y__spec_entropy
0.00293,mean:gyro_y__spec_entropy
0.00291,std:acc_mag__median
0.00287,mean:acc_z__band_1.5_3.0
0.00286,mean:acc_z__band_0.0_0.5
0.00283,mean:gyro_y__band_0.5_1.5
0.00283,mean:acc_x__spec_entropy
0.00281,mean:gyro_x__spec_entropy
0.00280,mean:acc_mag__spec_entropy
0.00280,mean:gyro_y__band_6.0_12.5
0.00280,mean:gyro_x__kurt
0.00277,mean:acc_mag__skew
0.00276,mean:acc_x__band_3.0_6.0
